date,carbon_intensity,cfe
2022_12,360.5199999999995,35.83831989247316
2022_03,347.35907258064515,35.82221774193544
2021_11,346.728513888889,33.07668055555565
2022_10,335.7847446236557,39.16716397849465
2022_02,330.48989583333343,38.98059523809528
2024_05,158.24088709677372,68.98973118279565
2024_04,170.67088888888884,66.25395833333332
2024_06,171.9787916666666,65.48779166666664
2024_03,192.85387096774187,60.91955645161283
2024_07,200.59599462365617,57.939099462365654
2024_05,158.24088709677372,68.98973118279565
2024_04,170.67088888888884,66.25395833333332
2024_06,171.9787916666666,65.48779166666664
2024_03,192.85387096774187,60.91955645161283
2023_05,203.49448924731166,59.87700268817201
2021_11,346.728513888889,33.07668055555565
2022_03,347.35907258064515,35.82221774193544
2022_12,360.5199999999995,35.83831989247316
2022_01,326.94787634408635,36.6036827956989
2021_12,329.30350806451617,37.86881720430108
